Type;N;J;GFLOPS;Memory Performance
AdditionJ;134217728;8;689.871;413.923
Multiplication;134217728;8;712.738;427.643
MultiplicationJ;134217728;8;694.809;416.886
Addition;134217728;16;710.538;426.323
AdditionJ;134217728;16;717.755;430.653
Multiplication;134217728;16;710.417;426.25
MultiplicationJ;134217728;16;704.141;422.485
Addition;134217728;32;711.961;427.177
AdditionJ;134217728;32;711.314;426.789
Multiplication;134217728;32;699.5;419.7
MultiplicationJ;134217728;32;668.517;401.11
Addition;268435456;1;681.852;409.111
AdditionJ;268435456;1;692.486;415.492
Multiplication;268435456;1;681.479;408.887
MultiplicationJ;268435456;1;701.561;420.936
Addition;268435456;2;661.137;396.682
AdditionJ;268435456;2;686.556;411.934
Multiplication;268435456;2;691.903;415.142
MultiplicationJ;268435456;2;704.803;422.882
Addition;268435456;4;694.34;416.604
AdditionJ;268435456;4;658.242;394.945
Multiplication;268435456;4;679.335;407.601
MultiplicationJ;268435456;4;693.827;416.296
Addition;268435456;8;688.756;413.254
AdditionJ;268435456;8;681.116;408.669
Multiplication;268435456;8;698.001;418.801
MultiplicationJ;268435456;8;680.7;408.42
Addition;268435456;16;697.713;418.628
AdditionJ;268435456;16;664.196;398.518
Multiplication;268435456;16;694.256;416.554
MultiplicationJ;268435456;16;677.716;406.63
Addition;268435456;32;682.838;409.703
AdditionJ;268435456;32;668.693;401.216
Multiplication;268435456;32;680.469;408.282
MultiplicationJ;268435456;32;669.888;401.933
Addition;536870912;1;683.971;410.383
AdditionJ;536870912;1;678.063;406.838
Multiplication;536870912;1;668.224;400.934
MultiplicationJ;536870912;1;666.225;399.735
Addition;536870912;2;665.125;399.075
AdditionJ;536870912;2;683.731;410.239
Multiplication;536870912;2;667.858;400.715
MultiplicationJ;536870912;2;681.009;408.605
Addition;536870912;4;660.608;396.365
AdditionJ;536870912;4;668.821;401.293
Multiplication;536870912;4;675.694;405.416
MultiplicationJ;536870912;4;661.93;397.158
Addition;536870912;8;667.06;400.236
AdditionJ;536870912;8;658.452;395.071
Multiplication;536870912;8;674.148;404.489
MultiplicationJ;536870912;8;667.119;400.271
Addition;536870912;16;670.878;402.527
AdditionJ;536870912;16;650.591;390.355
Multiplication;536870912;16;658.67;395.202
MultiplicationJ;536870912;16;660.147;396.088
Addition;536870912;32;677.432;406.459
AdditionJ;536870912;32;659.362;395.617
Multiplication;536870912;32;659.661;395.797
MultiplicationJ;536870912;32;650.398;390.239
Addition;1073741824;1;94.2202;56.5321
AdditionJ;1073741824;1;93.1248;55.8749
Multiplication;1073741824;1;94.8059;56.8836
MultiplicationJ;1073741824;1;94.1576;56.4946
Addition;1073741824;2;94.4447;56.6668
AdditionJ;1073741824;2;95.8454;57.5073
Multiplication;1073741824;2;95.348;57.2088
MultiplicationJ;1073741824;2;99.8309;59.8985
Addition;1073741824;4;93.9963;56.3978
AdditionJ;1073741824;4;97.1131;58.2679
Multiplication;1073741824;4;92.5513;55.5308
MultiplicationJ;1073741824;4;98.6682;59.2009
Addition;1073741824;8;92.0441;55.2264
AdditionJ;1073741824;8;98.309;58.9854
Multiplication;1073741824;8;92.6051;55.5631
MultiplicationJ;1073741824;8;98.7941;59.2764
Addition;1073741824;16;94.3379;56.6027
AdditionJ;1073741824;16;98.9986;59.3992
Multiplication;1073741824;16;93.4962;56.0977
MultiplicationJ;1073741824;16;98.7664;59.2599
Addition;1073741824;32;93.8484;56.309
AdditionJ;1073741824;32;99.0055;59.4033
Multiplication;1073741824;32;94.629;56.7774
MultiplicationJ;1073741824;32;99.667;59.8002
